time temp_an
0.0 0.0
0.23609833334181626 0.21029698402191954
0.4721966666836325 0.376369146555124
0.7082950000254488 0.5075168341775971
0.944393333367265 0.6110845586316174
1.1804916667090815 0.692872302990942
1.4165900000508975 0.7574603313815444
1.6526883333927136 0.8084656921976823
1.88878666673453 0.8487447794652354
2.1248850000763464 0.880553296161267
2.360983333418163 0.9056725777299128
2.5970816667599785 0.9255093501438729
2.833180000101795 0.9411745091464496
3.0692783334436116 0.9535453324565601
3.305376666785427 0.963314608934688
3.5414750001272437 0.9710294360333869
3.77757333346906 0.9771218582609791
4.013671666810876 0.9819330624687197
