time temp_me
0.0 0.0
0.23609833334181626 0.2082271218384264
0.4721966666836325 0.37366753411799536
0.7082950000254488 0.5049946939580856
0.944393333367265 0.6091480137555685
1.1804916667090815 0.6916746684406192
1.4165900000508975 0.7570049950397149
1.6526883333927136 0.8086741970044784
1.88878666673453 0.8495006687702045
2.1248850000763464 0.881729304031019
2.360983333418163 0.907146562938884
2.5970816667599785 0.9271727821512421
2.833180000101795 0.9429361627027433
3.0692783334436116 0.9553320192951986
3.305376666785427 0.9650701841584279
3.5414750001272437 0.9727128991860496
3.77757333346906 0.978705077130968
4.013671666810876 0.9833984462871221
