d2_num d2_an error time
1.0 1.0 0 0
0.9573905792734263 0.956926753124323 0.0 0.2526213363033951
0.9148018014944219 0.913853506248646 0.0004638261491033413 0.5052426726067902
0.8722355782694915 0.870780259372969 0.0009482952457758875 0.7578640089101853
0.8296940984538367 0.827707012497292 0.0014553188965225061 1.0104853452135805
0.7871798842987343 0.784633765621615 0.001987085956544732 1.2631066815169756
0.7446958625269436 0.741560518745938 0.002546118677119291 1.5157280178203707
0.7022454553532751 0.6984872718702609 0.0031353437810056617 1.768349354123766
0.659832698546373 0.655414024994584 0.0037581834830141547 2.020970690427161
0.6174623967507521 0.6123407781189071 0.004418673551789043 2.2735920267305563
0.5751403310831036 0.5692675312432302 0.005121618631845015 2.526213363033951
0.5328735415605907 0.5261942843675532 0.005872799839873433 2.7788346993373465
0.4906707191157176 0.48312103749187624 0.006679257193037524 3.0314560356407414
0.44854276229105317 0.4400477906161993 0.007549681623841342 3.2840773719441367
0.40650358883734855 0.3969745437405224 0.008494971674853857 3.536698708247532
0.3645713556251176 0.35390129686484545 0.009529045096826172 3.789320044550927
0.3227703594129848 0.3108280499891685 0.01067005876027216 4.041941380854322
0.2811341284700806 0.26775480311349154 0.0119423094238163 4.294562717157717
0.23971072094911802 0.22468155623781458 0.013379325356589089 4.5471840534611125
0.1985724152695076 0.1816083093621376 0.015029164711303444 4.799805389764508
0.15783497192663118 0.13853506248646064 0.01696410590737002 5.052426726067902
0.11770040298425066 0.09546181561078367 0.019299909440170543 5.305048062371298
0.07856789154654259 0.05238856873510671 0.022238587373466998 5.557669398674693
0.0413981523248605 0.009315321859429751 0.02617932281143588 5.810290734978088
0.009528935654771146 -0.033757925016247206 0.03208283046543075 6.062912071281483
