D2 temp time
1.100000000000001 282.0 0.0
1.099869795037255 282.0073785757859 0.1
1.0997395254418654 282.0147004517995 0.2
1.0996091916819097 282.02192049516793 0.3
1.099478794621888 282.0290397661346 0.4
1.099348335118163 282.0360596349382 0.5
1.0992178140162037 282.042981456221 0.6
1.099087232150689 282.0498065669291 0.7
1.0989565903456275 282.0565362865095 0.8
1.0988258894144785 282.0631719171216 0.9
1.098695130160269 282.06971474384585 1.0
1.098564313375715 282.0761660348911 1.1
1.098433439843336 282.0825270417998 1.2
1.098302510335573 282.08879899965046 1.3
1.098171525614905 282.0949831272591 1.4
1.0980404864339603 282.10108062737777 1.5
1.0979093935356325 282.10709268689135 1.6
1.0977782476531932 282.11302047701247 1.7
1.0976470495104025 282.1188651534742 1.8
1.09751579982162 282.12462785672074 1.9
1.0973844992919168 282.1303097120963 2.0
1.0972531486171797 282.13591183003166 2.1
1.097121748484224 282.14143530622925 2.2
1.0969902995708969 282.1468812218458 2.3
1.096858802546186 282.1522506436731 2.4
1.0967272580703233 282.15754462431727 2.5
1.0965956667948884 282.16276420237546 2.6
1.0964640293629124 282.16791040261114 2.7
1.0963323464089805 282.1729842361272 2.8
1.096200618559333 282.17798670053736 2.9
1.0960688464319648 282.18291878013554 3.0
1.0959370306367253 282.18778144606347 3.1
1.0958051717754163 282.1925756564764 3.2
1.0956732704418914 282.197302356707 3.3
1.0955413272221484 282.2019624794274 3.4
1.0954093426944291 282.20655694480956 3.5
1.0952773174293111 282.2110866606837 3.6
1.0951452519898028 282.21555252269485 3.7
1.0950131469314357 282.219955414458 3.8
1.0948810028023555 282.2242962077112 3.9
1.0947488201434146 282.22857576246673 4.0
1.0946165994882593 282.23279492716136 4.1
1.0944843413634218 282.23695453880384 4.2
1.0943520462884073 282.2410554231214 4.3
1.0942197147757804 282.2450983947045 4.4
1.0940873473312502 282.2490842571495 4.5
1.09395494445376 282.2530138032002 4.6
1.0938225066355662 282.2568878148874 4.7
1.0936900343623277 282.260707063667 4.8
1.0935575281131835 282.2644723105563 4.9
1.093424988360837 282.268184306269 5.0
1.0932924155716368 282.2718437913483 5.1
1.0931598102056561 282.27545149629873 5.2
1.0930271727167722 282.279008141716 5.3
1.0928945035527453 282.28251443841606 5.4
1.0927618031552953 282.2859710875617 5.5
1.0926290719601783 282.2893787807883 5.6
1.0924963103972625 282.29273820032796 5.7
1.0923635188906047 282.29605001913194 5.8
1.0922306978585217 282.2993149009918 5.9
1.0920978477136651 282.30253350065925 6.0
1.091964968863094 282.305706463964 6.1
1.0918320617083446 282.3088344279308 6.2
1.0916991266455047 282.3119180208948 6.3
1.0915661640652812 282.3149578626155 6.4
1.0914331743530679 282.3179545643893 6.5
1.0913001578890176 282.3209087291609 6.6
1.091167115048107 282.32382095163297 6.7
1.0910340462002048 282.3266918183747 6.8
1.0909009517101373 282.3295219079291 6.9
1.0907678319377538 282.332311790919 7.0
1.0906346872379915 282.3350620301512 7.1
1.0905015179609385 282.3377731807203 7.2
1.0903683244518978 282.34044579011044 7.3
1.0902351070514495 282.34308039829597 7.4
1.0901018660955117 282.34567753784125 7.5
1.0899686019154022 282.3482377339987 7.6
1.0898353148378979 282.350761504806 7.7
1.0897020051852946 282.3532493611818 7.8
1.0895686732754661 282.3557018070205 7.9
1.089435319421922 282.35811933928585 8.0
1.0893019439338645 282.3605024481028 8.1
1.0891685471162447 282.3628516168492 8.2
1.0890351292698217 282.3651673222453 8.3
1.0889016906912126 282.36745003444315 8.4
1.0887682316729523 282.3697002171138 8.5
1.0886347525035442 282.37191832753433 8.6
1.0885012534675143 282.3741048166733 8.7
1.0883677348454646 282.37626012927524 8.8
1.0882341969141236 282.3783847039439 8.9
1.0881006399464008 282.38047897322474 9.0
1.087967064211433 282.3825433636863 9.1
1.0878334699746375 282.38457829600014 9.2
1.0876998574977617 282.38658418502047 9.3
1.0875662270389292 282.3885614398621 9.4
1.0874325788526917 282.39051046397776 9.5
1.087298913190075 282.3924316552343 9.6
1.0871652302986243 282.39432540598807 9.7
1.0870315304224547 282.3961921031591 9.8
1.0868978138022936 282.39803212830435 9.9
1.0867640806755277 282.39984585769037 10.0
1.086630331276248 282.40163366236453 10.1
1.0864965658352927 282.40339590822566 10.2
1.0863627845802921 282.4051329560937 10.3
1.0862289877357114 282.40684516177845 10.4
1.0860951755228931 282.40853287614726 10.5
1.0859613481600991 282.4101964451922 10.6
1.0858275058625528 282.411836210096 10.7
1.0856936488424787 282.4134525072974 10.8
1.0855597773091437 282.41504566855536 10.9
1.085425891468898 282.4166160210129 11.0
1.0852919915252124 282.41816388725954 11.1
1.0851580776787197 282.41968958539337 11.2
1.0850241501272508 282.4211934290821 11.3
1.0848902090658739 282.42267572762336 11.4
1.0847562546869327 282.42413678600417 11.5
1.084622287180081 282.42557690495977 11.6
1.0844883067323219 282.4269963810315 11.7
1.0843543135280422 282.4283955066239 11.8
1.0842203077490478 282.4297745700614 11.9
1.0840862895746004 282.4311338556439 12.0
1.08395225918145 282.4324736437017 12.1
1.0838182167438717 282.4337942106498 12.2
1.0836841624336961 282.4350958290415 12.3
1.0835500964203466 282.43637876762097 12.4
1.083416018870869 282.4376432913757 12.5
1.083281929949965 282.43888966158784 12.6
1.0831478298200254 282.4401181358848 12.7
1.0830137186411597 282.44132896828955 12.8
1.0828795965712292 282.4425224092699 12.9
1.0827454637658764 282.4436987057873 13.0
1.0826113203785572 282.44485810134506 13.1
1.0824771665605672 282.44600083603575 13.2
1.0823430024610765 282.44712714658795 13.3
