time d2_fe
0.0 1.100000000000001
0.4064910517301843 1.100000000000001
0.8129821034603686 1.0994500896530581
1.2194731551905529 1.0988995768219691
1.6259642069207372 1.0983484956548615
2.0324552586509217 1.097796878426176
2.4389463103811058 1.0972447556334404
2.84543736211129 1.096692156089676
3.2519284138414744 1.0961391070115605
3.658419465571659 1.09558563410348
4.064910517301843 1.0950317616376106
4.471401569032027 1.0944775125301625
4.8778926207622115 1.0939229084139264
5.284383672492396 1.0933679697072658
5.69087472422258 1.0928127156796907
6.097365775952764 1.0922571645141506
6.503856827682949 1.0917013333661851
6.910347879413133 1.091145238420064
7.316838931143318 1.090588894942047
7.723329982873501 1.0900323173308952
8.129821034603687 1.0894755191657517
8.53631208633387 1.088918513251517
8.942803138064054 1.0883613116618356
9.34929418979424 1.0878039257798042
9.755785241524423 1.0872463663365182
10.162276293254607 1.0866886434475473
10.568767344984792 1.0861307666474582
10.975258396714976 1.0855727449224697
11.38174944844516 1.0850145867413394
11.788240500175345 1.0844563000845688
12.194731551905528 1.083897892472013
12.601222603635714 1.0833393709889767
13.007713655365897 1.082780742310878
13.414204707096081 1.0822220127265474
13.820695758826266 1.0816631881602423
14.22718681055645 1.081104274192437
14.633677862286635 1.0805452760794563
15.040168914016819 1.0799861987720172
15.446659965747003 1.07942704693273
15.853151017477188 1.078867824952624
16.259642069207374 1.0783085369667396
16.666133120937555 1.077749186868846
17.07262417266774 1.0771897783253326
17.479115224397926 1.0766303147883076
17.885606276128108 1.076070799507964
18.292097327858293 1.0755112355442384
18.69858837958848 1.0749516257778131
19.10507943131866 1.074391972920487
19.511570483048846 1.0738322795249604
19.91806153477903 1.073272547994062
20.324552586509213 1.0727127805894432
20.7310436382394 1.0721529794397824
21.137534689969584 1.0715931465485156
21.544025741699766 1.0710332838011238
21.95051679342995 1.0704733929720043
22.357007845160137 1.0699134757309428
22.76349889689032 1.0693535336492201
23.169989948620504 1.0687935682053589
23.57648100035069 1.0682335807905465
23.982972052080875 1.0676735727137392
24.389463103811057 1.067113545206476
24.795954155541242 1.0665534994274102
25.202445207271428 1.0659934364665817
25.60893625900161 1.0654333573494397
26.015427310731795 1.0648732630406332
26.42191836246198 1.0643131544475815
26.828409414192162 1.063753032423838
27.234900465922347 1.0631928977722551
27.641391517652533 1.0626327512479705
28.047882569382715 1.0620725935612143
28.4543736211129 1.0615124253799553
28.860864672843086 1.0609522473323934
29.26735572457327 1.0603920600093042
29.673846776303453 1.0598318639662505
30.080337828033638 1.0592716597256586
30.486828879763824 1.0587114477787787
30.893319931494005 1.0581512285875296
31.29981098322419 1.057591002586233
31.706302034954376 1.0570307701832464
32.11279308668456 1.0564705317625043
32.51928413841475 1.0559102876849629
32.925775190144925 1.055350038289965
33.33226624187511 1.0547897838965214
33.738757293605296 1.0542295248045204
34.14524834533548 1.053669261295861
34.55173939706567 1.0531089936355247
34.95823044879585 1.0525487220725818
35.36472150052603 1.0519884468411373
35.771212552256216 1.0514281681612225
36.1777036039864 1.0508678862396328
36.58419465571659 1.0503076012707204
36.99068570744677 1.0497473134371318
37.39717675917696 1.0491870229105096
37.803667810907136 1.0486267298521486
38.21015886263732 1.0480664344136141
38.61664991436751 1.0475061367373253
39.02314096609769 1.0469458369570996
39.42963201782788 1.046385535198669
39.83612306955806 1.0458252315801644
40.24261412128825 1.0452649262125715
40.64910517301843 1.0447046192001583
41.05559622474861 1.0441443106408783
41.4620872764788 1.0435840006267494
41.86857832820898 1.0430236892442104
42.27506937993917 1.0424633765744575
42.681560431669354 1.0419030626937575
43.08805148339953 1.041342747673745
43.49454253512972 1.0407824315817025
43.9010335868599 1.0402221144808201
44.30752463859009 1.039661796430444
44.714015690320274 1.0391014774863085
45.12050674205046 1.0385411577007515
45.52699779378064 1.037980837122921
45.93348884551082 1.0374205157989693
46.33997989724101 1.0368601937722313
46.746470948971194 1.0362998710833948
47.15296200070138 1.0357395477706641
47.559453052431564 1.035179223869906
47.96594410416175 1.034618899414794
48.37243515589193 1.03405857443694
48.77892620762211 1.0334982489660203
49.1854172593523 1.0329379230298918
49.591908311082484 1.0323775966547035
49.99839936281267 1.0318172698649986
50.404890414542855 1.031256942683814
50.81138146627303 1.030696615132771
51.21787251800322 1.0301362872321613
51.624363569733404 1.029575959001027
52.03085462146359 1.0290156304572387
52.437345673193775 1.0284553016175666
52.84383672492396 1.0278949724977435
53.250327776654146 1.0273346431125352
53.656818828384324 1.026774313475793
54.06330988011451 1.0262139836005129
54.469800931844695 1.0256536534988874
54.87629198357488 1.0250933231823545
55.282783035305066 1.024532992661642
55.68927408703525 1.023972661946814
56.09576513876543 1.0234123310473107
56.502256190495615 1.0228519999719836
56.9087472422258 1.0222916687291366
57.315238293955986 1.0217313373265555
57.72172934568617 1.0211710057715406
58.12822039741636 1.0206106740709393
58.53471144914654 1.0200503422311693
58.94120250087672 1.0194900102582494
59.347693552606906 1.0189296781578203
59.75418460433709 1.018369345935172
60.160675656067276 1.0178090135952595
60.56716670779746 1.0172486811427306
60.97365775952765 1.016688348581939
61.380148811257826 1.0161280159169648
61.78663986298801 1.0155676831516316
62.193130914718196 1.0150073502895218
62.59962196644838 1.0144470173339912
63.00611301817857 1.0138866842881837
63.41260406990875 1.013326351155044
63.81909512163893 1.0127660179373306
64.22558617336912 1.0122056846376246
64.63207722509931 1.0116453512583459
65.0385682768295 1.011085017801757
65.44505932855967 1.0105246842699784
65.85155038028985 1.0099643506649927
66.25804143202004 1.0094040169886573
66.66453248375022 1.0088436832427077
67.0710235354804 1.0082833494287702
