time T_d d2 
0.0 281.0 3.097600000000002 
0.09454674504511114 281.75410044697287 3.097600000000002 
0.18909349009022228 282.39861008869565 3.061032835087748 
0.28364023513533343 282.946206068825 3.0231915355008243 
0.37818698018044455 283.40883853121824 2.9842349419221836 
0.4727337252255557 283.7975802300831 2.9443120950543014 
0.5672804702706669 284.1225382106687 2.9035601420702686 
0.6618272153157779 284.39281743967626 2.8621031867720474 
0.7563739603608891 284.61652550507574 2.820051907778115 
0.8509207054060003 284.80080790541666 2.777503764489929 
0.9454674504511114 284.95190457151233 2.7345436235282428 
1.0400141954962225 285.0752197460435 2.691244661224562 
1.1345609405413337 285.175398922566 2.647669424679822 
1.229107685586445 285.25640804060953 2.6038709607658457 
1.3236544306315559 285.3216114505564 2.559893946778074 
1.418201175676667 285.3738462596989 2.5157757770465774 
1.5127479207217782 285.4154915455294 2.471547576347092 
1.6072946657668894 285.4485315920055 2.427235123631732 
1.7018414108120006 285.47461279795164 2.3828596789070584 
1.7963881558571115 285.49509425576434 2.3384387126174535 
1.8909349009022227 285.5110922337708 2.2939865412339975 
1.985481645947334 285.52351894398186 2.2495148754328773 
2.080028390992445 285.5331160612077 2.205033288718304 
2.1745751360375563 285.54048349771926 2.1605496149600767 
2.2691218810826674 285.5461039439648 2.1160702833511347 
2.3636686261277786 285.5503636709704 2.071600598952176 
2.45821537117289 285.55357006184624 2.0271449764286875 
2.5527621162180005 285.5559663039637 1.9827071339066489 
2.6473088612631117 285.5577436338585 1.9382902531494046 
2.741855606308223 285.55905148647486 1.8938971115378573 
2.836402351353334 285.5600058607961 1.8495301906495654 
2.9309490963984453 285.560696176335 1.8051917655973382 
3.0254958414435564 285.56119086004844 1.760883978713876 
3.1200425864886676 285.5615418713137 1.7166089006593857 
3.214589331533779 285.5617883437784 1.6723685815839648 
3.30913607657889 285.56195949713066 1.628165094593524 
3.403682821624001 285.56207694900183 1.5840005734438327 
3.4982295666691123 285.5621565371327 1.5398772461179224 
3.592776311714223 285.56220974438753 1.4957974657238853 
3.6873230567593342 285.5622448039727 1.4517637399794951 
3.7818698018044454 285.56226754907544 1.4077787604243779 
3.8764165468495566 285.5622820598735 1.3638454324177425 
3.970963291894668 285.5622911512624 1.3199669069391564 
4.065510036939779 285.5622967365211 1.2761466152121395 
4.16005678198489 285.562300095296 1.232388307217662 
4.254603527030001 285.5623020685759 1.1886960952613366 
4.3491502720751125 285.5623031985971 1.1450745039111916 
4.443697017120224 285.56230382773003 1.1015285278428586 
4.538243762165335 285.5623041672284 1.0580636994309163 
4.632790507210446 285.56230434416733 1.0146861683302544 
4.727337252255557 285.5623044328546 0.9714027958295017 
4.821883997300668 285.56230447538934 0.9282212674715118 
4.91643074234578 285.5623044947886 0.8851502283820654 
5.010977487390891 285.562304503138 0.8421994470098819 
5.105524232436001 285.5623045064968 0.7993800146758736 
5.200070977481112 285.562304507744 0.7567045906256402 
5.294617722526223 285.56230450816446 0.7141877054204462 
5.389164467571335 285.56230450829025 0.6718461398465227 
5.483711212616446 285.5623045083226 0.6296994026028293 
5.578257957661557 285.5623045083294 0.5877703386456118 
5.672804702706668 285.56230450833044 0.5460859124502547 
5.767351447751779 285.56230450833056 0.504678228498904 
5.8618981927968905 285.56230450833056 0.4635858780116685 
5.956444937842002 285.56230450833056 0.42285574110005997 
6.050991682887113 285.56230450833056 0.38254543490692655 
6.145538427932224 285.56230450833056 0.3427266936852851 
6.240085172977335 285.56230450833056 0.30349011735639925 
6.334631918022446 285.5623045083305 0.2649519660800268 
6.429178663067558 285.5623045083305 0.22726406730793386 
6.523725408112669 285.56230450833056 0.19062852751142387 
6.61827215315778 285.5623045083305 0.1553199174228234 
6.712818898202891 285.56230450833056 0.12171897324736415 
6.807365643248002 285.56230450833044 0.09036312705323687 
6.9019123882931135 285.56230450833084 0.06201731564658032 
6.996459133338225 285.56230450832925 0.03775075193470497 
