
# Surface 0 of 1 surfaces

# Curve title: "(x**2+y**2)<1?0:abs(real(ZZ(x,y)))"

# Contour 0, label:      2.2
2.5000000e+00 1.4433409e+00 2.2000000e+00 
2.4974299e+00 1.4697332e+00 2.2000000e+00 
2.4948502e+00 1.4961218e+00 2.2000000e+00 
2.4922607e+00 1.5225065e+00 2.2000000e+00 
2.4896612e+00 1.5488874e+00 2.2000000e+00 
2.4870514e+00 1.5752642e+00 2.2000000e+00 
2.4844311e+00 1.6016368e+00 2.2000000e+00 
2.4818000e+00 1.6280051e+00 2.2000000e+00 
2.4791580e+00 1.6543691e+00 2.2000000e+00 
2.4765049e+00 1.6807285e+00 2.2000000e+00 
2.4738409e+00 1.7070835e+00 2.2000000e+00 
2.4711937e+00 1.7334452e+00 2.2000000e+00 
2.4685776e+00 1.7598193e+00 2.2000000e+00 
2.4659848e+00 1.7862027e+00 2.2000000e+00 
2.4634079e+00 1.8125923e+00 2.2000000e+00 
2.4608391e+00 1.8389853e+00 2.2000000e+00 
2.4582708e+00 1.8653785e+00 2.2000000e+00 
2.4556954e+00 1.8917688e+00 2.2000000e+00 
2.4531053e+00 1.9181534e+00 2.2000000e+00 
2.4504927e+00 1.9445290e+00 2.2000000e+00 
2.4478560e+00 1.9708950e+00 2.2000000e+00 
2.4452549e+00 1.9972748e+00 2.2000000e+00 
2.4427101e+00 2.0236763e+00 2.2000000e+00 
2.4402097e+00 2.0500951e+00 2.2000000e+00 
2.4377423e+00 2.0765266e+00 2.2000000e+00 
2.4352962e+00 2.1029665e+00 2.2000000e+00 
2.4328597e+00 2.1294101e+00 2.2000000e+00 
2.4304212e+00 2.1558530e+00 2.2000000e+00 
2.4279690e+00 2.1822908e+00 2.2000000e+00 
2.4254916e+00 2.2087188e+00 2.2000000e+00 
2.4229805e+00 2.2351339e+00 2.2000000e+00 
2.4204836e+00 2.2615539e+00 2.2000000e+00 
2.4180272e+00 2.2879887e+00 2.2000000e+00 
2.4156113e+00 2.3144383e+00 2.2000000e+00 
2.4132358e+00 2.3409027e+00 2.2000000e+00 
2.4109008e+00 2.3673819e+00 2.2000000e+00 
2.4086062e+00 2.3938759e+00 2.2000000e+00 
2.4063521e+00 2.4203847e+00 2.2000000e+00 
2.4041385e+00 2.4469083e+00 2.2000000e+00 
2.4019653e+00 2.4734467e+00 2.2000000e+00 
2.3998325e+00 2.4999999e+00 2.2000000e+00 

2.3998325e+00 -2.5000000e+00 2.2000000e+00 
2.4019653e+00 -2.4734468e+00 2.2000000e+00 
2.4041384e+00 -2.4469084e+00 2.2000000e+00 
2.4063521e+00 -2.4203848e+00 2.2000000e+00 
2.4086062e+00 -2.3938760e+00 2.2000000e+00 
2.4109008e+00 -2.3673820e+00 2.2000000e+00 
2.4132358e+00 -2.3409028e+00 2.2000000e+00 
2.4156113e+00 -2.3144384e+00 2.2000000e+00 
2.4180272e+00 -2.2879888e+00 2.2000000e+00 
2.4204836e+00 -2.2615540e+00 2.2000000e+00 
2.4229805e+00 -2.2351340e+00 2.2000000e+00 
2.4254915e+00 -2.2087189e+00 2.2000000e+00 
2.4279690e+00 -2.1822909e+00 2.2000000e+00 
2.4304211e+00 -2.1558531e+00 2.2000000e+00 
2.4328597e+00 -2.1294102e+00 2.2000000e+00 
2.4352962e+00 -2.1029666e+00 2.2000000e+00 
2.4377423e+00 -2.0765267e+00 2.2000000e+00 
2.4402097e+00 -2.0500952e+00 2.2000000e+00 
2.4427101e+00 -2.0236764e+00 2.2000000e+00 
2.4452549e+00 -1.9972749e+00 2.2000000e+00 
2.4478560e+00 -1.9708951e+00 2.2000000e+00 
2.4504927e+00 -1.9445291e+00 2.2000000e+00 
2.4531053e+00 -1.9181535e+00 2.2000000e+00 
2.4556954e+00 -1.8917689e+00 2.2000000e+00 
2.4582708e+00 -1.8653786e+00 2.2000000e+00 
2.4608391e+00 -1.8389854e+00 2.2000000e+00 
2.4634079e+00 -1.8125924e+00 2.2000000e+00 
2.4659848e+00 -1.7862028e+00 2.2000000e+00 
2.4685776e+00 -1.7598194e+00 2.2000000e+00 
2.4711937e+00 -1.7334453e+00 2.2000000e+00 
2.4738409e+00 -1.7070836e+00 2.2000000e+00 
2.4765048e+00 -1.6807286e+00 2.2000000e+00 
2.4791580e+00 -1.6543692e+00 2.2000000e+00 
2.4818000e+00 -1.6280052e+00 2.2000000e+00 
2.4844311e+00 -1.6016369e+00 2.2000000e+00 
